Mutant, System, Mutation Operator, Human-Fail, Branch-Fail, Default-Fail, Human-Error, Branch-Error, Default-Error,result
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1084,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1085,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1086,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1087,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1088,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1089,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_109,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1090,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1091,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1092,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1093,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1094,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1095,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1096,commonsCompress,OAN,1,0,0,0,0,0,only-human
